iter	Passed	Remaining
726	32674	21258
727	32720	21214
728	32765	21169
729	32811	21124
730	32857	21081
731	32909	21040
732	32959	20998
733	33005	20954
734	33051	20910
735	33098	20866
736	33144	20822
737	33190	20777
738	33237	20733
739	33284	20690
740	33334	20648
741	33380	20604
742	33424	20558
743	33469	20513
744	33517	20470
745	33562	20425
746	33607	20380
747	33652	20335
748	33700	20292
749	33749	20249
750	33794	20204
751	33839	20159
752	33891	20118
753	33947	20080
754	33997	20037
755	34045	19995
756	34094	19952
757	34142	19909
758	34189	19865
759	34237	19821
760	34286	19779
761	34333	19734
762	34380	19691
763	34430	19649
764	34479	19605
765	34528	19562
766	34575	19519
767	34621	19474
768	34668	19430
769	34714	19386
770	34760	19341
771	34804	19295
772	34850	19251
773	34899	19208
774	34986	19186
775	35058	19155
776	35105	19111
777	35151	19066
778	35199	19022
779	35246	18978
780	35293	18934
781	35340	18890
782	35389	18847
783	35436	18803
784	35484	18759
785	35533	18716
786	35579	18671
787	35627	18627
788	35673	18582
789	35720	18538
790	35766	18493
791	35812	18448
792	35858	18403
793	35907	18360
794	35956	18317
795	36002	18272
796	36049	18228
797	36095	18183
798	36140	18138
799	36187	18093
800	36234	18049
801	36280	18004
802	36328	17960
803	36372	17914
804	36416	17868
805	36462	17823
806	36507	17778
807	36551	17732
808	36595	17687
809	36641	17642
810	36687	17597
811	36732	17552
812	36778	17507
813	36824	17462
814	36871	17417
815	36922	17375
816	36970	17331
817	37018	17287
818	37064	17242
819	37112	17198
820	37157	17153
821	37202	17107
822	37248	17062
823	37294	17017
824	37340	16973
825	37386	16928
826	37432	16882
827	37479	16838
828	37525	16793
829	37571	16748
830	37618	16704
831	37664	16659
832	37710	16614
833	37756	16569
834	37804	16525
835	37851	16480
836	37900	16437
837	37949	16393
838	37995	16348
839	38042	16304
840	38088	16258
841	38139	16216
842	38184	16170
843	38229	16125
844	38279	16082
845	38322	16035
846	38366	15989
847	38405	15941
848	38449	15895
849	38494	15850
850	38536	15803
851	38578	15757
852	38619	15710
853	38663	15664
854	38707	15618
855	38748	15571
856	38792	15525
857	38834	15479
858	38880	15434
859	38926	15389
860	38971	15344
861	39012	15297
862	39056	15251
