iter	Passed	Remaining
773	16978	9344
774	17000	9322
775	17022	9300
776	17043	9278
777	17064	9256
778	17086	9233
779	17107	9211
780	17129	9189
781	17151	9167
782	17173	9145
783	17194	9123
784	17216	9101
785	17238	9079
786	17260	9057
787	17283	9036
788	17308	9016
789	17332	8995
790	17354	8973
791	17376	8951
792	17398	8929
793	17419	8907
794	17440	8884
795	17461	8862
796	17484	8841
797	17509	8820
798	17531	8798
799	17552	8776
800	17574	8754
801	17597	8732
802	17618	8710
803	17640	8688
804	17662	8666
805	17684	8645
806	17707	8623
807	17732	8602
808	17754	8581
809	17775	8558
810	17798	8537
811	17820	8515
812	17842	8493
813	17864	8471
814	17885	8449
815	17906	8426
816	17929	8404
817	17954	8384
818	17979	8363
819	18001	8342
820	18023	8320
821	18044	8297
822	18066	8275
823	18088	8253
824	18109	8231
825	18130	8209
826	18157	8189
827	18181	8168
828	18204	8146
829	18225	8124
830	18247	8102
831	18272	8081
832	18299	8062
833	18322	8040
834	18344	8018
835	18366	7996
836	18388	7975
837	18410	7953
838	18432	7930
839	18453	7908
840	18475	7886
841	18496	7864
842	18518	7842
843	18541	7820
844	18562	7798
845	18584	7776
846	18606	7754
847	18627	7732
848	18648	7709
849	18670	7687
850	18691	7665
851	18712	7643
852	18732	7620
853	18754	7598
854	18776	7576
855	18797	7554
856	18820	7532
857	18842	7510
858	18864	7488
859	18885	7466
860	18906	7444
861	18931	7423
862	18955	7401
863	18976	7379
864	18997	7357
865	19018	7335
866	19040	7312
867	19061	7290
868	19082	7268
869	19104	7246
870	19125	7224
871	19146	7201
872	19167	7179
873	19189	7157
874	19211	7135
875	19233	7113
876	19254	7091
877	19279	7070
878	19303	7049
879	19326	7027
880	19348	7005
881	19370	6983
882	19392	6961
883	19413	6939
884	19435	6917
885	19457	6895
886	19479	6873
887	19500	6851
888	19522	6829
889	19544	6807
890	19566	6785
891	19589	6764
892	19612	6742
893	19638	6721
894	19660	6699
895	19682	6678
896	19702	6655
897	19721	6632
898	19740	6609
899	19759	6586
900	19778	6563
901	19799	6541
902	19818	6518
