h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,team_id,team_name,xG_last5_mean,xGA_last5_mean,xG_h,xG_a,xGA_h,xGA_a
h,0.622609,2.10415,0.622609,2.10415,"{'att': 211, 'def': 16}","{'att': 210, 'def': 16}",9,3,1,1,0.3824,d,2026-09-06 13:00:00,0,1,0,1,-1.4815410000000002,230,Parma Calcio 1913,0.615237,1.53991,0.622609,0.0,2.10415,0.0
h,3.77522,0.287976,3.77522,0.287976,"{'att': 212, 'def': 26}","{'att': 325, 'def': 17}",8,3,4,0,2.9646,w,2026-08-24 18:45:00,1,0,0,3,3.487244,95,Roma,,,3.77522,0.0,0.287976,0.0
a,4.13617,1.20256,4.13617,1.20256,"{'att': 221, 'def': 34}","{'att': 416, 'def': 19}",20,1,4,0,2.8499,w,2026-08-31 16:30:00,1,0,0,3,2.93361,95,Roma,3.77522,0.287976,0.0,4.13617,0.0,1.20256
h,3.54086,0.772123,3.54086,0.772123,"{'att': 180, 'def': 25}","{'att': 315, 'def': 11}",20,2,2,1,2.7613,w,2026-09-05 18:45:00,1,0,0,3,2.768737,95,Roma,3.955695,0.745268,3.54086,0.0,0.772123,0.0
a,2.70103,0.922815,2.70103,0.922815,"{'att': 406, 'def': 19}","{'att': 301, 'def': 16}",6,8,1,2,2.5137,l,2026-08-23 18:45:00,0,0,1,0,1.7782149999999999,104,Sassuolo,,,0.0,2.70103,0.0,0.922815
h,1.54523,1.50213,1.54523,1.50213,"{'att': 362, 'def': 21}","{'att': 201, 'def': 9}",12,6,2,1,1.4109,w,2026-08-29 16:30:00,1,0,0,3,0.04310000000000014,104,Sassuolo,2.70103,0.922815,1.54523,0.0,1.50213,0.0
a,1.8411,3.00787,1.8411,3.00787,"{'att': 310, 'def': 13}","{'att': 211, 'def': 28}",8,10,2,2,0.7019,d,2026-09-06 16:00:00,0,1,0,1,-1.16677,104,Sassuolo,2.1231299999999997,1.2124725,0.0,1.8411,0.0,3.00787
h,1.13035,1.74146,1.13035,1.74146,"{'att': 374, 'def': 20}","{'att': 247, 'def': 14}",2,9,1,2,0.9361999999999999,l,2026-08-23 18:45:00,0,0,1,0,-0.61111,113,Torino,,,1.13035,0.0,1.74146,0.0
a,1.50213,1.54523,1.50213,1.54523,"{'att': 201, 'def': 9}","{'att': 362, 'def': 21}",6,12,1,2,1.3245,l,2026-08-29 16:30:00,0,0,1,0,-0.04310000000000014,113,Torino,1.13035,1.74146,0.0,1.50213,0.0,1.54523
a,0.771751,1.35877,0.771751,1.35877,"{'att': 154, 'def': 18}","{'att': 318, 'def': 21}",4,3,2,1,0.8561000000000001,w,2026-09-05 13:00:00,1,0,0,3,-0.5870190000000001,113,Torino,1.31624,1.643345,0.0,0.771751,0.0,1.35877
h,2.12071,2.38585,2.12071,2.38585,"{'att': 365, 'def': 31}","{'att': 226, 'def': 25}",7,6,1,1,1.2174,d,2026-08-22 16:30:00,0,1,0,1,-0.26514000000000015,99,Udinese,,,2.12071,0.0,2.38585,0.0
a,1.02273,1.89797,1.02273,1.89797,"{'att': 229, 'def': 17}","{'att': 243, 'def': 17}",8,6,3,2,0.7259,w,2026-08-29 16:30:00,1,0,0,3,-0.87524,99,Udinese,2.12071,2.38585,0.0,1.02273,0.0,1.89797
h,0.797693,1.97943,0.797693,1.97943,"{'att': 324, 'def': 27}","{'att': 212, 'def': 18}",8,10,1,2,0.5242,l,2026-09-07 18:45:00,0,0,1,0,-1.181737,99,Udinese,1.57172,2.14191,0.797693,0.0,1.97943,0.0
h,3.19474,2.45246,3.19474,2.45246,"{'att': 115, 'def': 21}","{'att': 394, 'def': 21}",4,5,0,2,1.8522,l,2026-08-23 16:30:00,0,0,1,0,0.74228,265,Venezia,,,3.19474,0.0,2.45246,0.0
a,0.521597,3.21774,0.521597,3.21774,"{'att': 311, 'def': 27}","{'att': 202, 'def': 17}",2,8,0,2,0.105,l,2026-08-28 18:45:00,0,0,1,0,-2.696143,265,Venezia,3.19474,2.45246,0.0,0.521597,0.0,3.21774
a,2.43691,1.78975,2.43691,1.78975,"{'att': 88, 'def': 19}","{'att': 224, 'def': 33}",6,5,2,3,1.8471,l,2026-09-06 13:00:00,0,0,1,0,0.6471600000000002,265,Venezia,1.8581685,2.8350999999999997,0.0,2.43691,0.0,1.78975
