,id,isResult,side,h,a,goals,xG,datetime,forecast,result,season,team
14501,9816,True,a,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'h': '1', 'a': '0'}","{'h': '1.28773', 'a': '1.78672'}",2019-02-17 14:00:00,"{'w': 0.27658760934994225, 'd': 0.23181503840301165, 'l': 0.49159735136706456}",l,2023,Chievo
14502,9818,True,h,"{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '0', 'a': '0'}","{'h': '0.464159', 'a': '0.411351'}",2019-02-24 14:00:00,"{'w': 0.2684613334560448, 'd': 0.5000800827509269, 'l': 0.23145858379302833}",d,2023,Chievo
14503,9828,True,a,"{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'h': '3', 'a': '0'}","{'h': '0.875606', 'a': '1.10955'}",2019-03-03 11:30:00,"{'w': 0.2852406584639378, 'd': 0.30693955386899374, 'l': 0.40781978766573485}",l,2023,Chievo
14504,9838,True,h,"{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'h': '1', 'a': '2'}","{'h': '0.263355', 'a': '1.70597'}",2019-03-09 19:30:00,"{'w': 0.05176207577465915, 'd': 0.2096515419951174, 'l': 0.7385863817616373}",l,2023,Chievo
14505,9847,True,a,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'h': '1', 'a': '1'}","{'h': '1.50473', 'a': '0.758033'}",2019-03-17 14:00:00,"{'w': 0.5504225907633891, 'd': 0.2612175364460239, 'l': 0.18835987270457963}",d,2023,Chievo
14506,9858,True,h,"{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'h': '0', 'a': '3'}","{'h': '0.858272', 'a': '1.05607'}",2019-03-29 19:30:00,"{'w': 0.29007385025490556, 'd': 0.31458777412836403, 'l': 0.39533837561605034}",l,2023,Chievo
14507,9874,True,a,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'h': '4', 'a': '0'}","{'h': '2.1616', 'a': '1.46618'}",2019-04-04 18:00:00,"{'w': 0.5348405282539418, 'd': 0.20633246325619392, 'l': 0.25882699774402035}",l,2023,Chievo
14508,9877,True,a,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'h': '3', 'a': '0'}","{'h': '3.1019', 'a': '0.672578'}",2019-04-08 19:30:00,"{'w': 0.8472415121846574, 'd': 0.1024087751364432, 'l': 0.0503487057968162}",l,2023,Chievo
14509,9888,True,h,"{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '1', 'a': '3'}","{'h': '0.172953', 'a': '1.45817'}",2019-04-14 17:00:00,"{'w': 0.041668682678343415, 'd': 0.24826712728598194, 'l': 0.7100641899796215}",l,2023,Chievo
14510,9902,True,a,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'h': '1', 'a': '2'}","{'h': '1.6363', 'a': '1.18465'}",2019-04-20 14:00:00,"{'w': 0.47896947302785087, 'd': 0.2445501538820065, 'l': 0.27648037281942633}",w,2023,Chievo
