player,match_id,sum_xG,goals,season,date,minutes_played,games,time,goals_total,xG,assists,xA,shots,key_passes,position,player_team,npg,npxG,xGChain,xGBuildup,opponent_team,shots_per90,xG_per90,goals_per90,is_goals,xG_last5,shots_last5,goals_last5,xG_cummean,minutes_played_last5,finishing_efficiency,finishing_efficiency_hist,shots_hist,finishing_eff_weighted,finishing_form
remo freuler,7539,0.0,0.0,2017,2017-09-20,90,35.0,3008.0,5.0,4.372192237526178,3.0,3.8672938253730536,41.0,48.0,M S,Atalanta,5.0,4.372192237526178,18.179162073880438,12.724869599565864,Crotone,1.23,0.13,0.15,0,0.022096820175647718,38.6,0.0,0.12726202083840255,71.6,0.0,0.4870249881293203,1308.0,0.4870249881293203,0.4991009491618684
remo freuler,7551,0.6153889894485474,1.0,2017,2017-09-24,90,35.0,3008.0,5.0,4.372192237526178,3.0,3.8672938253730536,41.0,48.0,M S,Atalanta,5.0,4.372192237526178,18.179162073880438,12.724869599565864,Fiorentina,1.23,0.13,0.15,1,0.00799344033002852,39.8,0.0,0.12430243895843969,78.0,1.6249620443739916,0.44000596090954486,1349.0,0.44000596090954486,0.8414035018767072
remo freuler,7559,0.0356402993202209,0.0,2017,2017-10-01,90,35.0,3008.0,5.0,4.372192237526178,3.0,3.8672938253730536,41.0,48.0,M S,Atalanta,5.0,4.372192237526178,18.179162073880438,12.724869599565864,Juventus,1.23,0.13,0.15,0,0.13107123821973798,41.0,0.2,0.13546349692412396,85.6,0.0,0.5542564721116918,1390.0,0.5542564721116918,0.6863147758759605
remo freuler,7577,0.0804229006171226,0.0,2017,2017-10-15,90,35.0,3008.0,5.0,4.372192237526178,3.0,3.8672938253730536,41.0,48.0,M S,Atalanta,5.0,4.372192237526178,18.179162073880438,12.724869599565864,Sampdoria,1.23,0.13,0.15,0,0.13819929808378217,41.0,0.2,0.13324520364403722,87.6,0.0,0.5008793984946273,1431.0,0.5008793984946273,0.7379094857232693
remo freuler,7579,0.0650532990694046,0.0,2017,2017-10-22,90,35.0,3008.0,5.0,4.372192237526178,3.0,3.8672938253730536,41.0,48.0,M S,Atalanta,5.0,4.372192237526178,18.179162073880438,12.724869599565864,Bologna,1.23,0.13,0.15,0,0.14629043787717816,41.0,0.2,0.1320968927086695,45.2,0.0,0.45269410387394593,1472.0,0.45269410387394593,0.7113015111914635
remo freuler,7589,0.3353219926357269,1.0,2017,2017-10-25,90,35.0,3008.0,5.0,4.372192237526178,3.0,3.8672938253730536,41.0,48.0,M S,Atalanta,5.0,4.372192237526178,18.179162073880438,12.724869599565864,Verona,1.23,0.13,0.15,1,0.1593010976910591,41.0,0.2,0.13067043326953623,71.4,2.982119278688407,0.4091862125453226,1513.0,0.4091862125453226,0.8045571560516438
remo freuler,7608,0.0,0.0,2017,2017-10-29,43,35.0,3008.0,5.0,4.372192237526178,3.0,3.8672938253730536,41.0,48.0,M S,Atalanta,5.0,4.372192237526178,18.179162073880438,12.724869599565864,Udinese,1.23,0.13,0.15,0,0.22636549621820445,41.0,0.4,0.13493400742299852,67.2,0.0,0.6562526218888146,1554.0,0.6562526218888146,0.5248049600094327
remo freuler,7609,0.0,0.0,2017,2017-11-05,71,35.0,3008.0,5.0,4.372192237526178,3.0,3.8672938253730536,41.0,48.0,M S,Atalanta,5.0,4.372192237526178,18.179162073880438,12.724869599565864,SPAL 2013,1.23,0.13,0.15,0,0.10328769832849498,41.0,0.2,0.13218025216946794,83.8,0.0,0.5932853950986691,1595.0,0.5932853950986691,0.5157260203981371
remo freuler,7629,0.0540506988763809,0.0,2017,2017-11-27,90,35.0,3008.0,5.0,4.372192237526178,3.0,3.8672938253730536,41.0,48.0,M S,Atalanta,5.0,4.372192237526178,18.179162073880438,12.724869599565864,Benevento,1.23,0.13,0.15,0,0.09615963846445082,41.0,0.2,0.1295366471260786,90.0,0.0,0.5364003316975596,1636.0,0.5364003316975596,0.7102010336628215
remo freuler,7648,0.0,0.0,2017,2017-12-02,90,35.0,3008.0,5.0,4.372192237526178,3.0,3.8672938253730536,41.0,48.0,M S,Atalanta,5.0,4.372192237526178,18.179162073880438,12.724869599565864,Torino,1.23,0.13,0.15,0,0.09088519811630248,41.0,0.2,0.12805653049373159,83.2,0.0,0.48500255756200317,1677.0,0.48500255756200317,0.49874722424194784
remo freuler,7651,0.0251336991786956,0.0,2017,2017-12-12,90,35.0,3008.0,5.0,4.372192237526178,3.0,3.8672938253730536,41.0,48.0,M S,Atalanta,5.0,4.372192237526178,18.179162073880438,12.724869599565864,Genoa,1.23,0.13,0.15,0,0.07787453830242155,41.0,0.2,0.12559390490731365,90.0,0.0,0.4385567259237511,1718.0,0.4385567259237511,0.6500972743529781
remo freuler,7659,0.0,0.0,2017,2017-12-17,90,35.0,3008.0,5.0,4.372192237526178,3.0,3.8672938253730536,41.0,48.0,M S,Atalanta,5.0,4.372192237526178,18.179162073880438,12.724869599565864,Lazio,1.23,0.13,0.15,0,0.0158368796110153,41.0,0.0,0.12369842932752842,60.8,0.0,0.39658081675388435,1759.0,0.39658081675388435,0.48258396054002006
remo freuler,7674,0.049745500087738,0.0,2017,2017-12-23,90,35.0,3008.0,5.0,4.372192237526178,3.0,3.8672938253730536,41.0,48.0,M S,Atalanta,5.0,4.372192237526178,18.179162073880438,12.724869599565864,AC Milan,1.23,0.13,0.15,0,0.0158368796110153,41.0,0.0,0.12140771767331493,76.0,0.0,0.3586406257555231,1800.0,0.3586406257555231,0.6720282193880559
remo freuler,7679,0.1145699992775917,0.0,2017,2017-12-30,90,35.0,3008.0,5.0,4.372192237526178,3.0,3.8672938253730536,41.0,48.0,M S,Atalanta,5.0,4.372192237526178,18.179162073880438,12.724869599565864,Cagliari,1.23,0.13,0.15,0,0.0257859796285629,41.0,0.0,0.12010476826266807,69.6,0.0,0.3243448586081614,1841.0,0.3243448586081614,0.7333405388409613
remo freuler,7689,0.03643099963665,0.0,2017,2018-01-06,90,35.0,3008.0,5.0,4.372192237526178,3.0,3.8672938253730536,41.0,48.0,M S,Atalanta,5.0,4.372192237526178,18.179162073880438,12.724869599565864,Roma,1.23,0.13,0.15,0,0.037889839708805065,41.0,0.0,0.12000593310222028,89.2,0.0,0.29334075771645934,1882.0,0.29334075771645934,0.6376579480024368
remo freuler,7705,0.0,0.0,2017,2018-01-21,90,35.0,3008.0,5.0,4.372192237526178,3.0,3.8672938253730536,41.0,48.0,M S,Atalanta,5.0,4.372192237526178,18.179162073880438,12.724869599565864,Napoli,1.23,0.13,0.15,0,0.04517603963613506,41.0,0.0,0.11853970619931553,72.2,0.0,0.2653101985220018,1923.0,0.2653101985220018,0.4534606087998899
remo freuler,7709,0.0684200972318649,1.0,2017,2018-01-28,90,35.0,3008.0,5.0,4.372192237526178,3.0,3.8672938253730536,41.0,48.0,M S,Atalanta,5.0,4.372192237526178,18.179162073880438,12.724869599565864,Sassuolo,1.23,0.13,0.15,1,0.04014929980039594,41.0,0.0,0.11649591816139629,90.0,14.61345285849373,0.23996620074990768,1964.0,0.23996620074990768,0.6696700532552518
remo freuler,7719,0.0986708998680114,0.0,2017,2018-02-04,90,35.0,3008.0,5.0,4.372192237526178,3.0,3.8672938253730536,41.0,48.0,M S,Atalanta,5.0,4.372192237526178,18.179162073880438,12.724869599565864,Chievo,1.23,0.13,0.15,0,0.05383331924676893,41.0,0.2,0.11568107373886186,84.8,0.0,1.6126115076946068,2005.0,1.6126115076946068,0.8489496335016802
remo freuler,7729,0.0387604981660842,0.0,2017,2018-02-10,35,35.0,3008.0,5.0,4.372192237526178,3.0,3.8672938253730536,41.0,48.0,M S,Atalanta,5.0,4.372192237526178,18.179162073880438,12.724869599565864,Crotone,1.23,0.13,0.15,0,0.06361839920282361,41.0,0.2,0.11539757084101436,70.2,0.0,1.4586497325133971,2046.0,1.4586497325133971,0.7712873621946665
